Team,Team_Abv,Total_GamesPlayed,Total_PassingYardsFor,Total_PassingYardsAgainst,Total_RushingYardsFor,Total_RushingYardsAgainst,Total_Takeaways,Total_Giveaways,Total_PointsFor,Total_PointsAgainst,Total_PassAttempts,Total_RushAttempts
Arizona Cardinals,ARI,17,4642,3869,2076,1813,27,15,449,366,591,496
Atlanta Falcons,ATL,17,3713,4218,1451,2199,20,26,313,459,573,393
Baltimore Ravens,BAL,17,3961,4742,2479,1532,15,26,387,392,611,517
Buffalo Bills,BUF,17,4284,2771,2209,1863,30,22,483,289,655,461
Carolina Panthers,CAR,17,3239,3284,1847,1931,16,29,304,404,599,454
Chicago Bears,CHI,17,3207,3741,2018,1984,16,29,311,407,542,475
Cincinnati Bengals,CIN,17,4403,4222,1742,1742,21,21,460,376,555,436
Cleveland Browns,CLE,17,3320,3699,2471,1857,19,22,349,371,520,485
Dallas Cowboys,DAL,17,4834,4378,2119,1918,34,20,530,358,648,473
Denver Broncos,DEN,17,3593,3645,2025,1885,19,18,335,322,541,455
Detroit Lions,DET,17,3598,3954,1886,2321,19,23,325,467,593,427
Green Bay Packers,GB,17,4315,3723,1900,1858,26,13,450,371,593,446
Houston Texans,HOU,17,3305,3995,1422,2419,25,22,280,452,546,420
Indianapolis Colts,IND,17,3361,3968,2540,1852,33,19,451,365,521,499
Jacksonville Jaguars,JAX,17,3436,3878,1755,1951,9,29,253,457,604,391
Kansas City Chiefs,KC,17,4791,4273,1955,1999,29,25,480,364,675,431
Las Vegas Raiders,LV,17,4567,4062,1617,1996,15,24,374,439,628,414
Los Angeles Chargers,LAC,17,4800,3755,1834,2361,21,21,474,459,674,423
Los Angeles Rams,LAR,17,4642,3901,1683,1755,25,23,460,372,607,420
Miami Dolphins,MIA,17,3651,3799,1568,1866,26,26,341,373,615,442
Minnesota Vikings,MIN,17,4238,4300,1930,2151,24,13,425,426,604,449
New England Patriots,NE,17,3857,3104,2151,2103,30,23,462,303,535,490
New Orleans Saints,NO,17,3156,3815,1991,1663,25,18,364,335,504,510
New York Giants,NYG,17,2956,3998,1688,2193,22,30,258,416,593,419
New York Jets,NYJ,17,3551,4409,1667,2351,14,27,310,504,603,380
Philadelphia Eagles,PHI,17,3404,3438,2715,1839,16,16,444,385,494,550
Pittsburgh Steelers,PIT,17,3785,3940,1583,2483,22,20,343,398,664,411
San Francisco 49ers,SF,17,4221,3510,2166,1760,20,24,427,365,514,499
Seattle Seahawks,SEA,17,3432,4513,2074,1928,18,13,395,366,495,413
Tampa Bay Buccaneers,TB,17,5229,4063,1672,1573,29,19,511,353,731,385
Tennessee Titans,TEN,17,3418,4014,2404,1773,22,25,419,354,535,551
Washington Football Team,WAS,17,3441,4333,2061,1771,18,24,335,434,550,477
